ダウンロードした時刻：2026/07/10 21:48:31,,
,,
,,さいたま
日付,時間,暑さ指数
2021/4/1,1:00,13.1
2021/4/1,2:00,13
2021/4/1,3:00,10.9
2021/4/1,4:00,11.1
2021/4/1,5:00,10.6
2021/4/1,6:00,10.6
2021/4/1,7:00,10.8
2021/4/1,8:00,11.7
2021/4/1,9:00,14.4
2021/4/1,10:00,15.3
2021/4/1,11:00,16.4
2021/4/1,12:00,17.1
2021/4/1,13:00,18
2021/4/1,14:00,18.6
2021/4/1,15:00,18.9
2021/4/1,16:00,18.5
2021/4/1,17:00,15.7
2021/4/1,18:00,14.1
2021/4/1,19:00,13.6
2021/4/1,20:00,13.1
2021/4/1,21:00,12.4
2021/4/1,22:00,12.1
2021/4/1,23:00,12
2021/4/2,0:00,11.8
2021/4/2,1:00,11.6
2021/4/2,2:00,11.3
2021/4/2,3:00,10.8
2021/4/2,4:00,10.9
2021/4/2,5:00,10.7
2021/4/2,6:00,10.9
2021/4/2,7:00,12
2021/4/2,8:00,12.9
2021/4/2,9:00,13.2
2021/4/2,10:00,13.6
2021/4/2,11:00,14.4
2021/4/2,12:00,15.2
2021/4/2,13:00,15.3
2021/4/2,14:00,15.6
2021/4/2,15:00,15.1
2021/4/2,16:00,15.4
2021/4/2,17:00,14.8
2021/4/2,18:00,13.7
2021/4/2,19:00,13.3
2021/4/2,20:00,13.1
2021/4/2,21:00,13
2021/4/2,22:00,13
2021/4/2,23:00,12.7
2021/4/3,0:00,12.6
2021/4/3,1:00,12.6
2021/4/3,2:00,12.2
2021/4/3,3:00,12.2
2021/4/3,4:00,12.2
2021/4/3,5:00,11.7
2021/4/3,6:00,12.3
2021/4/3,7:00,13.5
2021/4/3,8:00,15.1
2021/4/3,9:00,16.6
2021/4/3,10:00,15.9
2021/4/3,11:00,16.6
2021/4/3,12:00,15.4
2021/4/3,13:00,17.6
2021/4/3,14:00,18
2021/4/3,15:00,17.6
2021/4/3,16:00,17.9
2021/4/3,17:00,16.4
2021/4/3,18:00,14.9
2021/4/3,19:00,14.6
2021/4/3,20:00,14.4
2021/4/3,21:00,14.4
2021/4/3,22:00,14.2
2021/4/3,23:00,14.3
2021/4/4,0:00,14.5
2021/4/4,1:00,14.2
2021/4/4,2:00,14.6
2021/4/4,3:00,13.2
2021/4/4,4:00,12.6
2021/4/4,5:00,12.8
2021/4/4,6:00,13
2021/4/4,7:00,13.6
2021/4/4,8:00,16.2
2021/4/4,9:00,17.3
2021/4/4,10:00,17.7
2021/4/4,11:00,16.4
2021/4/4,12:00,15.8
2021/4/4,13:00,15.4
2021/4/4,14:00,17.4
2021/4/4,15:00,15.7
2021/4/4,16:00,15.7
2021/4/4,17:00,15.4
2021/4/4,18:00,14.9
2021/4/4,19:00,15.4
2021/4/4,20:00,15.6
2021/4/4,21:00,15.8
2021/4/4,22:00,15.5
2021/4/4,23:00,15.2
2021/4/5,0:00,14.9
2021/4/5,1:00,14.8
2021/4/5,2:00,14.9
2021/4/5,3:00,14.8
2021/4/5,4:00,14.7
2021/4/5,5:00,14.5
2021/4/5,6:00,14.7
2021/4/5,7:00,14.3
2021/4/5,8:00,15.1
2021/4/5,9:00,14.8
2021/4/5,10:00,14.8
2021/4/5,11:00,14.1
2021/4/5,12:00,14.5
2021/4/5,13:00,14.1
2021/4/5,14:00,12.2
2021/4/5,15:00,11.5
2021/4/5,16:00,10.5
2021/4/5,17:00,10.1
2021/4/5,18:00,9.2
2021/4/5,19:00,8.8
2021/4/5,20:00,8.4
2021/4/5,21:00,8.2
2021/4/5,22:00,7.5
2021/4/5,23:00,6.5
2021/4/6,0:00,6.7
2021/4/6,1:00,5
2021/4/6,2:00,4.7
2021/4/6,3:00,4.7
2021/4/6,4:00,4.2
2021/4/6,5:00,4.5
2021/4/6,6:00,5.3
2021/4/6,7:00,6.6
2021/4/6,8:00,7.4
2021/4/6,9:00,10.3
2021/4/6,10:00,11.4
2021/4/6,11:00,9.4
2021/4/6,12:00,12.1
2021/4/6,13:00,10.6
2021/4/6,14:00,10.5
2021/4/6,15:00,10.6
2021/4/6,16:00,10.1
2021/4/6,17:00,10
2021/4/6,18:00,9.4
2021/4/6,19:00,8.8
2021/4/6,20:00,8.3
2021/4/6,21:00,8
2021/4/6,22:00,7.9
2021/4/6,23:00,7.6
2021/4/7,0:00,7.2
2021/4/7,1:00,7.2
2021/4/7,2:00,7.2
2021/4/7,3:00,7.2
2021/4/7,4:00,6.7
2021/4/7,5:00,5.9
2021/4/7,6:00,6.4
2021/4/7,7:00,9.6
2021/4/7,8:00,11.9
2021/4/7,9:00,12.1
2021/4/7,10:00,13.2
2021/4/7,11:00,13.3
2021/4/7,12:00,14.6
2021/4/7,13:00,15.4
2021/4/7,14:00,15.7
2021/4/7,15:00,15.9
2021/4/7,16:00,15.9
2021/4/7,17:00,13.8
2021/4/7,18:00,11.4
2021/4/7,19:00,10.6
2021/4/7,20:00,10.3
2021/4/7,21:00,10.3
2021/4/7,22:00,10.3
2021/4/7,23:00,7.7
2021/4/8,0:00,7
2021/4/8,1:00,6.6
2021/4/8,2:00,6.7
2021/4/8,3:00,6.9
